                                                                                                                                    
{'loss': '0.6962', 'grad_norm': '7.664', 'learning_rate': '4.5e-08', 'rewards/chosen': '-0.002464', 'rewards/rejected': '0.00325', 'rewards/accuracies': '0.25', 'rewards/margins': '-0.005715', 'logps/chosen': '-95.66', 'logps/rejected': '-68.87', 'logits/chosen': '1.546', 'logits/rejected': '1.634', 'epoch': '0.0107'}
{'loss': '0.1609', 'grad_norm': '2.912', 'learning_rate': '8.144e-08', 'rewards/chosen': '0.8588', 'rewards/rejected': '-0.9393', 'rewards/accuracies': '1', 'rewards/margins': '1.798', 'logps/chosen': '-91.08', 'logps/rejected': '-78.94', 'logits/chosen': '1.636', 'logits/rejected': '1.684', 'epoch': '0.8563'}
{'loss': '0.1623', 'grad_norm': '2.893', 'learning_rate': '7.545e-08', 'rewards/chosen': '0.8493', 'rewards/rejected': '-0.9346', 'rewards/accuracies': '1', 'rewards/margins': '1.784', 'logps/chosen': '-89.32', 'logps/rejected': '-78.04', 'logits/chosen': '1.657', 'logits/rejected': '1.797', 'epoch': '0.867'}
{'loss': '0.164', 'grad_norm': '3.118', 'learning_rate': '6.946e-08', 'rewards/chosen': '0.8252', 'rewards/rejected': '-0.9525', 'rewards/accuracies': '1', 'rewards/margins': '1.778', 'logps/chosen': '-91.08', 'logps/rejected': '-78.6', 'logits/chosen': '1.722', 'logits/rejected': '1.863', 'epoch': '0.8777'}
{'loss': '0.16', 'grad_norm': '3.66', 'learning_rate': '6.347e-08', 'rewards/chosen': '0.8239', 'rewards/rejected': '-0.9737', 'rewards/accuracies': '1', 'rewards/margins': '1.798', 'logps/chosen': '-83.6', 'logps/rejected': '-79.38', 'logits/chosen': '1.618', 'logits/rejected': '1.811', 'epoch': '0.8884'}
{'loss': '0.1574', 'grad_norm': '2.675', 'learning_rate': '5.749e-08', 'rewards/chosen': '0.8486', 'rewards/rejected': '-0.9726', 'rewards/accuracies': '1', 'rewards/margins': '1.821', 'logps/chosen': '-93.53', 'logps/rejected': '-77.91', 'logits/chosen': '1.682', 'logits/rejected': '1.768', 'epoch': '0.8991'}
{'loss': '0.1538', 'grad_norm': '2.761', 'learning_rate': '5.15e-08', 'rewards/chosen': '0.877', 'rewards/rejected': '-0.9681', 'rewards/accuracies': '1', 'rewards/margins': '1.845', 'logps/chosen': '-93.08', 'logps/rejected': '-78.27', 'logits/chosen': '1.686', 'logits/rejected': '1.757', 'epoch': '0.9098'}
{'loss': '0.1611', 'grad_norm': '2.987', 'learning_rate': '4.551e-08', 'rewards/chosen': '0.8081', 'rewards/rejected': '-0.9694', 'rewards/accuracies': '1', 'rewards/margins': '1.777', 'logps/chosen': '-83.28', 'logps/rejected': '-78.23', 'logits/chosen': '1.638', 'logits/rejected': '1.796', 'epoch': '0.9205'}
{'loss': '0.1587', 'grad_norm': '3.129', 'learning_rate': '3.952e-08', 'rewards/chosen': '0.8414', 'rewards/rejected': '-0.9931', 'rewards/accuracies': '1', 'rewards/margins': '1.834', 'logps/chosen': '-92.14', 'logps/rejected': '-79.9', 'logits/chosen': '1.646', 'logits/rejected': '1.818', 'epoch': '0.9312'}
{'loss': '0.1618', 'grad_norm': '3.847', 'learning_rate': '3.353e-08', 'rewards/chosen': '0.7973', 'rewards/rejected': '-0.9902', 'rewards/accuracies': '1', 'rewards/margins': '1.788', 'logps/chosen': '-89.88', 'logps/rejected': '-78.65', 'logits/chosen': '1.66', 'logits/rejected': '1.815', 'epoch': '0.9419'}
{'loss': '0.1597', 'grad_norm': '2.869', 'learning_rate': '2.754e-08', 'rewards/chosen': '0.8135', 'rewards/rejected': '-1.003', 'rewards/accuracies': '1', 'rewards/margins': '1.816', 'logps/chosen': '-99.06', 'logps/rejected': '-79.5', 'logits/chosen': '1.64', 'logits/rejected': '1.732', 'epoch': '0.9526'}
{'loss': '0.1448', 'grad_norm': '3.285', 'learning_rate': '2.156e-08', 'rewards/chosen': '0.9088', 'rewards/rejected': '-0.9992', 'rewards/accuracies': '1', 'rewards/margins': '1.908', 'logps/chosen': '-83.26', 'logps/rejected': '-79.34', 'logits/chosen': '1.634', 'logits/rejected': '1.804', 'epoch': '0.9633'}
{'loss': '0.1584', 'grad_norm': '2.966', 'learning_rate': '1.557e-08', 'rewards/chosen': '0.8349', 'rewards/rejected': '-0.9856', 'rewards/accuracies': '1', 'rewards/margins': '1.82', 'logps/chosen': '-86.93', 'logps/rejected': '-79.36', 'logits/chosen': '1.641', 'logits/rejected': '1.806', 'epoch': '0.974'}
{'loss': '0.1501', 'grad_norm': '3.278', 'learning_rate': '9.581e-09', 'rewards/chosen': '0.8905', 'rewards/rejected': '-0.9829', 'rewards/accuracies': '1', 'rewards/margins': '1.873', 'logps/chosen': '-98.63', 'logps/rejected': '-79.24', 'logits/chosen': '1.749', 'logits/rejected': '1.814', 'epoch': '0.9847'}
{'loss': '0.1512', 'grad_norm': '2.855', 'learning_rate': '3.593e-09', 'rewards/chosen': '0.865', 'rewards/rejected': '-0.9946', 'rewards/accuracies': '1', 'rewards/margins': '1.86', 'logps/chosen': '-86.5', 'logps/rejected': '-79.13', 'logits/chosen': '1.642', 'logits/rejected': '1.771', 'epoch': '0.9955'}
{'train_runtime': '1552', 'train_samples_per_second': '4.816', 'train_steps_per_second': '0.603', 'train_loss': '0.3588', 'epoch': '1'}

[1mSaving model[0m[1;33m...[0m

[1;32mTraining complete! Model saved to models/dpo-clean[0m
