                                                                                                                                    
{'loss': '0.6956', 'grad_norm': '7.75', 'learning_rate': '4.5e-08', 'rewards/chosen': '-0.005866', 'rewards/rejected': '-0.00129', 'rewards/accuracies': '0.275', 'rewards/margins': '-0.004576', 'logps/chosen': '-142.2', 'logps/rejected': '-68.85', 'logits/chosen': '1.639', 'logits/rejected': '1.634', 'epoch': '0.0107'}
{'loss': '0.1964', 'grad_norm': '3.399', 'learning_rate': '8.144e-08', 'rewards/chosen': '0.783', 'rewards/rejected': '-0.8006', 'rewards/accuracies': '1', 'rewards/margins': '1.584', 'logps/chosen': '-136.5', 'logps/rejected': '-77.56', 'logits/chosen': '1.727', 'logits/rejected': '1.72', 'epoch': '0.8563'}
{'loss': '0.2003', 'grad_norm': '3.364', 'learning_rate': '7.545e-08', 'rewards/chosen': '0.7549', 'rewards/rejected': '-0.795', 'rewards/accuracies': '1', 'rewards/margins': '1.55', 'logps/chosen': '-145.4', 'logps/rejected': '-76.64', 'logits/chosen': '1.769', 'logits/rejected': '1.831', 'epoch': '0.867'}
{'loss': '0.2082', 'grad_norm': '3.399', 'learning_rate': '6.946e-08', 'rewards/chosen': '0.7245', 'rewards/rejected': '-0.799', 'rewards/accuracies': '1', 'rewards/margins': '1.524', 'logps/chosen': '-140.4', 'logps/rejected': '-77.05', 'logits/chosen': '1.822', 'logits/rejected': '1.897', 'epoch': '0.8777'}
{'loss': '0.2016', 'grad_norm': '3.878', 'learning_rate': '6.347e-08', 'rewards/chosen': '0.7322', 'rewards/rejected': '-0.8163', 'rewards/accuracies': '1', 'rewards/margins': '1.548', 'logps/chosen': '-134.4', 'logps/rejected': '-77.81', 'logits/chosen': '1.723', 'logits/rejected': '1.847', 'epoch': '0.8884'}
{'loss': '0.1927', 'grad_norm': '3.282', 'learning_rate': '5.749e-08', 'rewards/chosen': '0.7756', 'rewards/rejected': '-0.8311', 'rewards/accuracies': '1', 'rewards/margins': '1.607', 'logps/chosen': '-147.4', 'logps/rejected': '-76.51', 'logits/chosen': '1.775', 'logits/rejected': '1.801', 'epoch': '0.8991'}
{'loss': '0.1909', 'grad_norm': '3.073', 'learning_rate': '5.15e-08', 'rewards/chosen': '0.7803', 'rewards/rejected': '-0.8212', 'rewards/accuracies': '1', 'rewards/margins': '1.602', 'logps/chosen': '-151.4', 'logps/rejected': '-76.78', 'logits/chosen': '1.79', 'logits/rejected': '1.794', 'epoch': '0.9098'}
{'loss': '0.2005', 'grad_norm': '3.301', 'learning_rate': '4.551e-08', 'rewards/chosen': '0.7235', 'rewards/rejected': '-0.8241', 'rewards/accuracies': '1', 'rewards/margins': '1.548', 'logps/chosen': '-141.8', 'logps/rejected': '-76.78', 'logits/chosen': '1.762', 'logits/rejected': '1.833', 'epoch': '0.9205'}
{'loss': '0.1962', 'grad_norm': '3.561', 'learning_rate': '3.952e-08', 'rewards/chosen': '0.7669', 'rewards/rejected': '-0.8332', 'rewards/accuracies': '1', 'rewards/margins': '1.6', 'logps/chosen': '-145.8', 'logps/rejected': '-78.31', 'logits/chosen': '1.738', 'logits/rejected': '1.855', 'epoch': '0.9312'}
{'loss': '0.1991', 'grad_norm': '4.2', 'learning_rate': '3.353e-08', 'rewards/chosen': '0.7268', 'rewards/rejected': '-0.8389', 'rewards/accuracies': '1', 'rewards/margins': '1.566', 'logps/chosen': '-139.1', 'logps/rejected': '-77.13', 'logits/chosen': '1.763', 'logits/rejected': '1.85', 'epoch': '0.9419'}
{'loss': '0.1974', 'grad_norm': '3.286', 'learning_rate': '2.754e-08', 'rewards/chosen': '0.7283', 'rewards/rejected': '-0.8513', 'rewards/accuracies': '1', 'rewards/margins': '1.58', 'logps/chosen': '-147.1', 'logps/rejected': '-77.98', 'logits/chosen': '1.749', 'logits/rejected': '1.77', 'epoch': '0.9526'}
{'loss': '0.1809', 'grad_norm': '3.75', 'learning_rate': '2.156e-08', 'rewards/chosen': '0.8178', 'rewards/rejected': '-0.8511', 'rewards/accuracies': '1', 'rewards/margins': '1.669', 'logps/chosen': '-133.2', 'logps/rejected': '-77.87', 'logits/chosen': '1.749', 'logits/rejected': '1.838', 'epoch': '0.9633'}
{'loss': '0.1919', 'grad_norm': '3.423', 'learning_rate': '1.557e-08', 'rewards/chosen': '0.7709', 'rewards/rejected': '-0.8438', 'rewards/accuracies': '1', 'rewards/margins': '1.615', 'logps/chosen': '-138.7', 'logps/rejected': '-77.93', 'logits/chosen': '1.749', 'logits/rejected': '1.842', 'epoch': '0.974'}
{'loss': '0.1828', 'grad_norm': '3.615', 'learning_rate': '9.581e-09', 'rewards/chosen': '0.8218', 'rewards/rejected': '-0.8338', 'rewards/accuracies': '1', 'rewards/margins': '1.656', 'logps/chosen': '-160.4', 'logps/rejected': '-77.7', 'logits/chosen': '1.846', 'logits/rejected': '1.852', 'epoch': '0.9847'}
{'loss': '0.1909', 'grad_norm': '3.2', 'learning_rate': '3.593e-09', 'rewards/chosen': '0.7546', 'rewards/rejected': '-0.8468', 'rewards/accuracies': '1', 'rewards/margins': '1.601', 'logps/chosen': '-135', 'logps/rejected': '-77.64', 'logits/chosen': '1.746', 'logits/rejected': '1.808', 'epoch': '0.9955'}
{'train_runtime': '1561', 'train_samples_per_second': '4.788', 'train_steps_per_second': '0.599', 'train_loss': '0.3882', 'epoch': '1'}

[1mSaving model[0m[1;33m...[0m

[1;32mTraining complete! Model saved to models/dpo-padded-mild[0m
